nChunks,METEOR,BLEU,BERT,ROUGE,OVERLAP,OVERLAPE,TEMPS
0,0.1938018047846467,0.0186094201077439,0.3626760869565218,0.0741455116510011,0.4785847826086956,0.1406097826086956,72.25421214622
1,0.2023810091587423,0.0156929076799954,0.3635173913043479,0.0730028274009417,0.4703478260869565,0.166295652173913,72.05663414882576
2,0.2314616992254669,0.0155414431918854,0.3692617977528091,0.0733250541727668,0.5629449438202248,0.2129303370786517,77.89798571286576
3,0.2359846304221724,0.0152397581356882,0.3665764705882353,0.0683013676712875,0.59934,0.2434541176470588,78.57111797893748
4,0.240000775610019,0.0171167032376087,0.3664285714285715,0.0714594978277717,0.6518619047619049,0.2982702380952381,76.55461030347007
5,0.2361710947659879,0.0130463472980734,0.3675696202531645,0.0714796301967759,0.6533164556962026,0.2772759493670886,76.60701918903786
6,0.231060778515114,0.0143211914201634,0.3645784810126583,0.0697646548682413,0.6538822784810127,0.2667670886075949,80.81003113939792
7,0.2226363367725343,0.015211630818833,0.3654582278481013,0.0676497299519289,0.6512759493670887,0.2862050632911392,82.98888698710671
8,0.2230384323316502,0.0149102938143648,0.3656810810810811,0.0667804904761136,0.6484729729729728,0.2563702702702702,78.40914815503197
9,0.233708003765522,0.0156059073240271,0.3673473684210526,0.0678490282891434,0.680463157894737,0.2638263157894737,81.79633142759926
10,0.21830769911949308,0.01390735701304043,0.3629662337662339,0.06438026613780806,0.6728181818181818,0.2662649350649351,86.8434998153092
