nChunks,METEOR,BLEU,BERT,ROUGE,OVERLAP,OVERLAPE,TEMPS
0,0.2665460638796205,0.0182414297898636,0.3682393258426967,0.0822822264079113,0.7243247191011236,0.3159494382022472,77.92182967903909
1,0.2581275524068143,0.0229423633913321,0.3626696629213483,0.0808924268914204,0.6960213483146067,0.3001876404494382,66.10923034957285
2,0.2380163131938962,0.0168875897190703,0.3611876404494384,0.0697970052068169,0.7327292134831461,0.3359561797752808,66.29537815726205
3,0.2499583679529876,0.0197242851023168,0.3662674157303371,0.0751179076735828,0.7760011235955055,0.3558067415730337,66.86134702971812
4,0.2669617379206919,0.0231063586592671,0.3666471910112359,0.07898079913475,0.7950314606741575,0.3782786516853932,65.685076003664
5,0.2603790952468588,0.0199520722032082,0.36536404494382,0.0746383472734228,0.8144269662921347,0.3892955056179775,66.0372205021676
6,0.257802022353413,0.0218876953505923,0.3623602272727274,0.0773047710741676,0.775859090909091,0.3714977272727273,65.95378019592978
7,0.232945591738931,0.0169232720386614,0.3614068181818181,0.0708722446305115,0.7564022727272729,0.3012931818181818,66.24658564816822
8,0.2589591321464997,0.0185603301235172,0.3690213483146067,0.0765185726278765,0.7641292134831461,0.3490348314606741,66.95071035288693
9,0.2561363090371867,0.023711640952461,0.3687385542168674,0.0805135781461899,0.7589240963855423,0.3536481927710843,68.50345169205264
10,0.25963045265762313,0.022220079132410666,0.37082954545454555,0.07682560458528413,0.7728999999999999,0.37642272727272724,69.18748014081608
