nChunks,METEOR,BLEU,BERT,ROUGE,OVERLAP,OVERLAPE,TEMPS
0,0.07618439640677,0,0.4168461538461538,0.0309748358593667,0.2215461538461538,0.0,63.39057660102844
1,0.080707863416229,0,0.4292285714285714,0.0293668483107034,0.2579285714285714,0.0714285714285714,70.42131222997394
2,0.0704325737688865,0,0.3875714285714285,0.0150134562099784,0.2478857142857143,0.0,69.08102980681828
3,0.0757056717309147,0,0.3803846153846154,0.0107343909071696,0.2463846153846153,0.0,69.52651711610648
4,0.0826806288484566,0,0.3627928571428572,0.0154248746498426,0.2282928571428571,0.0,70.40261856147221
5,0.0681732646653585,0,0.3415076923076923,0.0115513328990704,0.2385461538461538,0.0,70.3091260286478
6,0.0812473587651392,0,0.3655272727272727,0.013078231620778,0.2287545454545454,0.0,71.61553807692094
7,0.0598352014906347,0,0.3503363636363636,0.0111648756576526,0.1990727272727272,0.0,71.86085393212058
8,0.079275593360407,0,0.3644666666666666,0.0242627993453742,0.1624833333333333,0.0,69.16248420874278
9,0.0514283481622646,0,0.31697,0.0083518495965213,0.19924,0.0,83.63042945861817
10,0.0515786543471901,0,0.32043750000000004,0.009817570188918786,0.177,0.0,89.23234617710114
