nChunks,METEOR,BLEU,BERT,ROUGE,OVERLAP,OVERLAPE
0,0.6677474543802627,0.3217149560101322,0.700654,0.4825013340200147,0.8193030000000003,0.689006
1,0.6584907355333139,0.247076200657771,0.6759397260273974,0.4365943033347748,0.8529164383561646,0.642582191780822
2,0.6656593423553735,0.2889312719087172,0.6931739130434782,0.466264160291698,0.8525869565217391,0.6854869565217391
3,0.6842682978310481,0.3235850791482527,0.7123682926829268,0.4975656204731729,0.859731707317073,0.6898536585365852
4,0.6833126693937127,0.3050531850124722,0.7101361111111111,0.4706133883965118,0.8455777777777779,0.6799
5,0.6337392004352465,0.2806622541382091,0.6738868421052633,0.4323754539965078,0.8062184210526316,0.6285526315789474
6,0.6403374469162384,0.3073753401998104,0.6934694444444446,0.489953047466385,0.8174222222222223,0.6324138888888888
7,0.6215723654537858,0.2681870615868538,0.6770657142857143,0.4319230026998361,0.8059571428571428,0.6469171428571429
8,0.6442238037318504,0.3200003941695388,0.6993571428571428,0.4852348722955884,0.8563514285714285,0.6734485714285714
9,0.612476706025924,0.2745298278881699,0.6838388888888889,0.4442023714458718,0.7947194444444446,0.6065611111111111
10,0.600310024509246,0.2651267897082091,0.6656411764705883,0.41101101056339995,0.8235000000000001,0.6367205882352941
