nChunks,METEOR,BLEU,BERT,ROUGE,OVERLAP,OVERLAPE
0,0.6102525810720703,0.1854376306078555,0.67266,0.3751494821938594,0.8174850000000001,0.61377
1,0.5742435739429737,0.1678665230189837,0.6749263157894736,0.3843496473023723,0.8085052631578948,0.5836526315789474
2,0.6199719747377368,0.2137209011375029,0.7109375,0.4282773009122302,0.8811875,0.66114375
3,0.5490359443565206,0.1528432278448759,0.6880500000000002,0.4129986465808878,0.8343333333333333,0.57225
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
